Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Anger,0.0,0.15952878,0.055721253,0.07990225,0.18625762,0.1582304,0.051570915,0.30878887
1,Anger,0.48470497131347656,0.16127713,0.05560094,0.07942613,0.18765232,0.15665124,0.04998545,0.3094067
2,Anger,0.7425389289855957,0.16765566,0.056150176,0.07894436,0.18845703,0.1508108,0.04896837,0.30901372
3,Anger,0.9479560852050781,0.17993161,0.05724242,0.078874595,0.18748814,0.141124,0.048800547,0.30653873
4,Anger,1.1736199855804443,0.19584167,0.05806257,0.07906978,0.18591695,0.13065867,0.048781678,0.30166867
5,Anger,1.3960919380187988,0.2137593,0.058726784,0.07908228,0.1838807,0.12079258,0.04854312,0.29521513
6,Anger,1.619276762008667,0.22598515,0.059012994,0.07769223,0.18398738,0.1146311,0.046475545,0.2922156
7,Anger,1.881545066833496,0.23379034,0.058650672,0.07616865,0.18629006,0.11105863,0.043742348,0.29029936
8,Anger,2.112668037414551,0.23845507,0.057618298,0.075300686,0.18901116,0.109557815,0.04135079,0.28870624
9,Anger,2.3348770141601562,0.24190386,0.05615851,0.07448617,0.1928796,0.10980448,0.038698103,0.2860693
10,Anger,2.5718557834625244,0.24319753,0.054859027,0.07374851,0.19775069,0.1112582,0.03606224,0.28312376
11,Anger,2.7970781326293945,0.23913516,0.053962097,0.0734133,0.20196027,0.11451018,0.035491448,0.28152755
12,Anger,3.0152828693389893,0.22700356,0.052909434,0.07261154,0.20541508,0.12039906,0.034462806,0.2871986
13,Anger,3.242439031600952,0.20903046,0.053041723,0.06962295,0.21217649,0.12622842,0.03276172,0.2971383
14,Anger,3.452820062637329,0.1956814,0.05386149,0.066712774,0.21836191,0.12988925,0.03148196,0.30401126
15,Anger,3.6711859703063965,0.18399914,0.054406725,0.06455267,0.22322576,0.13356343,0.030683061,0.3095692
16,Anger,3.9261021614074707,0.18159361,0.05515989,0.06470771,0.22273213,0.13380976,0.03110646,0.31089047
17,Anger,4.184910774230957,0.1850814,0.056092914,0.065312706,0.22213766,0.13144508,0.032231845,0.30769837
