Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Neutral,0.0,0.9457217,0.01973438,0.0023998744,0.012709247,0.0016932659,0.009911682,0.007829959
1,Neutral,0.4720771312713623,0.9459864,0.019581981,0.002386684,0.01267136,0.001671128,0.009803651,0.007898745
2,Neutral,0.7231340408325195,0.9474148,0.019338133,0.0023210945,0.012189249,0.0015806585,0.009408873,0.0077472846
3,Neutral,0.9550368785858154,0.94950026,0.019108027,0.0022280253,0.011595887,0.0014195652,0.008793026,0.007355146
4,Neutral,1.155137062072754,0.95220566,0.018643716,0.0021282728,0.011013974,0.0012374431,0.0080113355,0.0067597292
5,Neutral,1.3691179752349854,0.95526606,0.018017577,0.002015072,0.010474045,0.0010645725,0.007124833,0.0060380166
6,Neutral,1.5739400386810303,0.9582685,0.017161671,0.001872886,0.010082416,0.0009351939,0.006279164,0.005400062
7,Neutral,1.7996299266815186,0.9600399,0.016517028,0.0017870198,0.01004308,0.0008499497,0.005733477,0.005029376
8,Neutral,2.0467710494995117,0.9605045,0.016101247,0.001775662,0.010333971,0.0008039904,0.0055722427,0.0049084066
9,Neutral,2.256274938583374,0.9609445,0.015599861,0.0017726008,0.010660204,0.0007671095,0.005443708,0.004811917
10,Neutral,2.4567739963531494,0.9609491,0.015217754,0.0017877988,0.011151754,0.0007437123,0.0053903097,0.0047596
11,Neutral,2.6582112312316895,0.9613496,0.014826292,0.0018084432,0.011452478,0.0007330397,0.0053515094,0.004478583
12,Neutral,2.864264965057373,0.95874494,0.015090188,0.0018383235,0.012483367,0.00080424297,0.0060763806,0.0049624206
13,Neutral,3.091378927230835,0.9550971,0.015765829,0.0018255789,0.013395695,0.0009145409,0.007005304,0.005996007
14,Neutral,3.279843807220459,0.9497853,0.017029816,0.001833308,0.01448465,0.0010677215,0.008369341,0.007429909
15,Neutral,3.482050895690918,0.94157517,0.018774658,0.0019325626,0.01619898,0.0012944862,0.010604936,0.009619167
