Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Neutral,0.0,0.70427454,0.033563796,0.021697361,0.045696206,0.014153051,0.017239429,0.16337556
1,Neutral,0.4724569320678711,0.70496607,0.033370145,0.021418022,0.0460715,0.013977157,0.016716696,0.16348033
2,Neutral,0.7522327899932861,0.71392167,0.03306588,0.020778554,0.04548724,0.013233802,0.015788687,0.15772414
3,Neutral,1.0031547546386719,0.7301523,0.03258362,0.020014923,0.044246536,0.012022429,0.014657436,0.14632279
4,Neutral,1.2357008457183838,0.75223905,0.031429738,0.019116292,0.042690746,0.010686833,0.013342468,0.13049491
5,Neutral,1.4675700664520264,0.77646834,0.029862896,0.018074183,0.040960673,0.009423139,0.011917166,0.11329373
6,Neutral,1.7042250633239746,0.79522026,0.028237266,0.016764201,0.03959648,0.008481997,0.010447521,0.1012522
7,Neutral,1.9568030834197998,0.8056251,0.027029391,0.015874026,0.039446577,0.007907009,0.009369093,0.094748855
8,Neutral,2.1857869625091553,0.81001455,0.02612734,0.015496698,0.04017791,0.0076412554,0.008753276,0.0917889
9,Neutral,2.416118860244751,0.81367856,0.025059842,0.01520061,0.041071583,0.007501797,0.008166735,0.089320846
10,Neutral,2.644516944885254,0.81560665,0.0242163,0.015035891,0.04247679,0.0074922177,0.007678113,0.087494105
11,Neutral,2.874778985977173,0.8163904,0.023695137,0.015161696,0.04317667,0.007594761,0.007641374,0.08634
12,Neutral,3.1034531593322754,0.8015248,0.024287645,0.015390434,0.045886427,0.008287862,0.008087416,0.09653549
13,Neutral,3.3297250270843506,0.774982,0.026043747,0.015172505,0.04964,0.009239656,0.008643627,0.11627856
14,Neutral,3.562222957611084,0.74603385,0.028241467,0.014980224,0.05281425,0.010056268,0.009341939,0.13853204
15,Neutral,3.7895851135253906,0.71116376,0.030525504,0.015149215,0.056412037,0.011085097,0.010366058,0.16529843
16,Neutral,4.0232298374176025,0.69607747,0.03198981,0.0155951055,0.057834007,0.011526145,0.01094071,0.1760367
17,Neutral,4.251145839691162,0.7037386,0.032430876,0.015511984,0.056979045,0.011126624,0.010984596,0.16922833
18,Neutral,4.49601411819458,0.7137871,0.032924503,0.015235169,0.056051854,0.010513345,0.010949782,0.16053814
19,Neutral,4.724723815917969,0.7238932,0.033203762,0.015074615,0.05367974,0.009925407,0.011016704,0.15320654
20,Neutral,4.955036163330078,0.73675716,0.033181433,0.014798688,0.050637603,0.009271048,0.010900747,0.14445329
21,Neutral,5.19426703453064,0.74194,0.035706162,0.014139351,0.04987739,0.008780135,0.010685209,0.13887186
22,Neutral,5.415179014205933,0.75622886,0.039523687,0.013510608,0.048762165,0.007882235,0.010316348,0.12377606
23,Neutral,5.635351896286011,0.7711703,0.043575983,0.013224597,0.047278248,0.0071913577,0.010051038,0.10750843
24,Neutral,5.857978105545044,0.7640537,0.05315128,0.0125929,0.049171343,0.0067110555,0.010108643,0.10421115
25,Neutral,6.0973899364471436,0.759077,0.06453945,0.011756158,0.05085956,0.0061141592,0.009661452,0.09799217
26,Neutral,6.321014881134033,0.7500421,0.077263385,0.011242286,0.052832615,0.0057305046,0.009638761,0.09325028
27,Neutral,6.539830923080444,0.7217435,0.09443243,0.010828755,0.05736602,0.0055445177,0.010074492,0.10001027
28,Neutral,6.771617889404297,0.72195303,0.09648648,0.010548902,0.05747182,0.005223527,0.009566686,0.09874954
