Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Neutral,0.0,0.9340126,0.017745338,0.0037165778,0.013981031,0.0020060497,0.02314773,0.005390684
1,Neutral,0.5925271511077881,0.93454283,0.01763083,0.0036661497,0.013899272,0.001977119,0.022839358,0.0054444014
2,Neutral,0.9639461040496826,0.9365297,0.017479232,0.0034964713,0.013111093,0.0018235894,0.022145718,0.0054140855
3,Neutral,1.2105162143707275,0.9392292,0.017428562,0.0032687616,0.012092037,0.0015607198,0.021101616,0.005319124
4,Neutral,1.444770097732544,0.9427416,0.017182563,0.0030151058,0.011114949,0.001289934,0.019515967,0.005139821
5,Neutral,1.669727087020874,0.9465994,0.016807966,0.0027411862,0.01028341,0.0010615245,0.017627904,0.004878609
6,Neutral,1.9238030910491943,0.9497841,0.016309928,0.002461502,0.009916207,0.0009313069,0.0159794,0.004617641
7,Neutral,2.142848014831543,0.9514805,0.015956683,0.002267144,0.009986637,0.0008687275,0.014947883,0.0044923946
8,Neutral,2.388845205307007,0.95135134,0.015795115,0.0021861815,0.01043549,0.0008519814,0.014816299,0.00456348
9,Neutral,2.618575096130371,0.95116526,0.015522488,0.0021328488,0.01095457,0.00084940996,0.014717366,0.0046580946
10,Neutral,2.8874480724334717,0.9504046,0.0153556345,0.0021163845,0.011688916,0.0008675842,0.014771672,0.0047951704
11,Neutral,3.1207361221313477,0.9501133,0.015095324,0.0021647275,0.012449255,0.0008921279,0.014727779,0.0045573935
12,Neutral,3.537572145462036,0.9475465,0.014921,0.0022652615,0.013994389,0.0010527951,0.015411243,0.0048090303
13,Neutral,3.769630193710327,0.94441366,0.014923881,0.002344626,0.015270033,0.0013187472,0.016472822,0.0052561224
14,Neutral,4.006908178329468,0.94016415,0.015447412,0.0024250099,0.016094945,0.0016127317,0.018408783,0.0058470443
15,Neutral,4.252614259719849,0.9340468,0.016241673,0.0026182688,0.017326752,0.001969851,0.021055222,0.0067416495
16,Neutral,4.4944682121276855,0.9298209,0.017281035,0.0028311969,0.018698048,0.0021187402,0.021891652,0.0073584034
17,Neutral,4.7402989864349365,0.93071234,0.017731378,0.0028155553,0.018660676,0.0019671964,0.020826105,0.0072865733
18,Neutral,4.973912000656128,0.932568,0.018004948,0.0027114751,0.01872895,0.0018038484,0.019267518,0.0069151446
19,Neutral,5.26223611831665,0.9346584,0.018197821,0.0026341034,0.017872851,0.0016183513,0.018392827,0.006625644
20,Neutral,5.549352169036865,0.9370103,0.018299853,0.0025127893,0.0168195,0.0014471877,0.017597776,0.006312478
21,Neutral,5.819537162780762,0.9365043,0.01997285,0.0023517918,0.016813558,0.0013719006,0.016803108,0.006182349
22,Neutral,6.065284252166748,0.9349089,0.02315478,0.0022030503,0.016313087,0.0011541914,0.016930465,0.005335479
23,Neutral,6.305062294006348,0.932191,0.02724807,0.0021419257,0.015409209,0.0009518699,0.017403893,0.00465395
24,Neutral,6.543085098266602,0.92114925,0.036157314,0.0020895544,0.017065905,0.0008944101,0.01803535,0.004608167
25,Neutral,6.786052227020264,0.9076485,0.04815992,0.0019784078,0.018656276,0.0008474215,0.018267768,0.004441673
26,Neutral,7.018242120742798,0.8945888,0.060897388,0.0019044442,0.01907577,0.00078710035,0.018605802,0.004140493
27,Neutral,7.275030136108398,0.87176496,0.079533696,0.0018877698,0.021554762,0.00082798506,0.019961275,0.004469608
28,Neutral,7.509206056594849,0.8669131,0.084960766,0.0018186992,0.02140124,0.00079454755,0.019541377,0.004570459
29,Neutral,7.754868030548096,0.86896443,0.08375479,0.0018501725,0.021727458,0.0007222059,0.01818643,0.004794344
30,Neutral,8.036195039749146,0.8787542,0.07569716,0.0019167121,0.021452472,0.00065930415,0.0165541,0.0049659577
31,Neutral,8.29931902885437,0.9002108,0.058027215,0.0019506019,0.018954033,0.00059413345,0.015507732,0.0047554635
32,Neutral,8.58469820022583,0.91252345,0.04571655,0.0019718495,0.0196676,0.000674706,0.014626546,0.00481933
33,Neutral,8.88040018081665,0.9136884,0.040826153,0.0020767585,0.022507314,0.0008290754,0.014390444,0.0056818044
34,Neutral,9.135847330093384,0.91559577,0.0366408,0.0021769756,0.02382882,0.0009728992,0.014449829,0.0063348287
35,Neutral,9.387975215911865,0.916338,0.033721894,0.002239135,0.024726084,0.0011423543,0.014997267,0.006835232
36,Neutral,9.680898189544678,0.91868216,0.03025693,0.0022717346,0.024861054,0.0013755842,0.015424505,0.007127952
37,Neutral,10.007440090179443,0.9194544,0.028707696,0.002145794,0.025048338,0.0016143506,0.016290227,0.006739242
38,Neutral,10.348826169967651,0.9190087,0.02917967,0.002069622,0.024088154,0.0017415145,0.017256198,0.0066562193
39,Neutral,10.600439071655273,0.91455746,0.0312497,0.0020797253,0.024472747,0.0019099253,0.018856414,0.0068741012
40,Neutral,10.938531160354614,0.9104214,0.03293327,0.0021221524,0.024671262,0.0020794696,0.020732136,0.0070402278
41,Neutral,11.24434518814087,0.9100723,0.032516696,0.0021125465,0.024415947,0.002300841,0.021267574,0.00731423
42,Neutral,11.548936128616333,0.9211456,0.028940545,0.0020232229,0.02096745,0.001922904,0.019231921,0.0057682833
43,Neutral,11.906017065048218,0.933213,0.024707202,0.0020236205,0.017065223,0.0015456732,0.016997322,0.0044480483
44,Neutral,12.311748027801514,0.9302554,0.02474835,0.002226952,0.018781234,0.0017633701,0.016979948,0.0052447817
45,Neutral,12.702246189117432,0.9273502,0.024293587,0.0025137698,0.020815672,0.0020617375,0.01678926,0.0061758524
46,Neutral,12.965649127960205,0.9195739,0.025824364,0.0028757642,0.024165085,0.0024340814,0.01753296,0.0075937086
47,Neutral,13.250539064407349,0.915306,0.028760875,0.0029803186,0.02585515,0.002403828,0.016723143,0.00797075
48,Neutral,13.548066139221191,0.90975934,0.032401823,0.0031242692,0.027212203,0.0023346632,0.016732296,0.008435434
49,Neutral,13.792124271392822,0.910463,0.033524353,0.0031474165,0.026417928,0.0021853026,0.015776567,0.0084855575
50,Neutral,14.087400197982788,0.91263574,0.03412771,0.0031036995,0.02533368,0.001993928,0.014254665,0.008550581
51,Neutral,14.394400119781494,0.9163221,0.03294336,0.0031894373,0.023402015,0.0018267306,0.014005555,0.008310815
52,Neutral,14.628259181976318,0.9246812,0.029873991,0.003155086,0.019832537,0.0015860382,0.013433031,0.0074380715
53,Neutral,14.871873140335083,0.9327149,0.026827458,0.0030466842,0.01698298,0.0013995193,0.012457048,0.0065713613
54,Neutral,15.118040084838867,0.9415628,0.023248672,0.0028733558,0.014613726,0.0012016017,0.011106442,0.0053934543
55,Neutral,15.349076986312866,0.9479252,0.020304164,0.0027984336,0.013022019,0.0010814628,0.010194995,0.0046737003
56,Neutral,15.584343194961548,0.95315427,0.017648697,0.0027762677,0.011889315,0.0009940936,0.009427152,0.0041101873
57,Neutral,16.07630729675293,0.9550913,0.01597761,0.0029191708,0.0119972145,0.0010125494,0.009159852,0.003842365
58,Neutral,16.27927327156067,0.9539907,0.01592013,0.0030442239,0.013242884,0.0010387471,0.009160014,0.0036033748
59,Neutral,16.503711938858032,0.9506022,0.016121652,0.0034502975,0.01516686,0.001117648,0.009905185,0.003636228
60,Neutral,16.748504161834717,0.9468144,0.016552791,0.0038467953,0.01737659,0.0012047776,0.010587478,0.003617138
61,Neutral,16.97786521911621,0.94212264,0.0173864,0.0042222543,0.020277211,0.0012948189,0.01113577,0.003560883
62,Neutral,17.208391189575195,0.9368391,0.018330414,0.004629356,0.023153253,0.0013715287,0.012047368,0.0036290274
