Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Neutral,0.0,0.86886793,0.03534994,0.014679235,0.03334203,0.0067981402,0.017274499,0.023688177
1,Neutral,0.37676334381103516,0.8690789,0.035172567,0.014512487,0.03360996,0.006742076,0.01687107,0.024012912
2,Neutral,0.6909041404724121,0.8718613,0.034862794,0.013805055,0.03320251,0.0064965086,0.01609741,0.023674475
3,Neutral,0.8624529838562012,0.87651676,0.034482803,0.012805606,0.03272241,0.0060239555,0.015021856,0.02242661
4,Neutral,1.1763842105865479,0.8828244,0.033571847,0.011719718,0.03235,0.0054770196,0.0136412745,0.020415647
5,Neutral,1.3663980960845947,0.8898117,0.032348353,0.010592023,0.03206897,0.004970914,0.012154294,0.018053753
6,Neutral,1.5554330348968506,0.89589655,0.030933702,0.009523786,0.032012295,0.0046333247,0.010779463,0.016220741
7,Neutral,1.7241101264953613,0.89890796,0.029821103,0.008869039,0.032876562,0.004469592,0.009867851,0.015187997
8,Neutral,1.8835110664367676,0.8988002,0.028994877,0.008665933,0.03472401,0.0044895243,0.009499308,0.014826187
9,Neutral,2.0498340129852295,0.89846355,0.027966363,0.008585963,0.036748156,0.004569652,0.009111573,0.014554839
10,Neutral,2.2088682651519775,0.8969387,0.027149,0.0086453585,0.03927365,0.0047328174,0.0088064065,0.014453963
11,Neutral,2.3750901222229004,0.89615506,0.02654372,0.008845555,0.040932715,0.0048690448,0.008887063,0.0137669165
12,Neutral,2.5378551483154297,0.88946474,0.027018856,0.009449057,0.044117674,0.0052687707,0.009469779,0.015211137
13,Neutral,2.733260154724121,0.8799243,0.028728068,0.009926029,0.046632957,0.0058243973,0.010284007,0.018680291
14,Neutral,2.905968189239502,0.8686081,0.031126415,0.010421716,0.04877623,0.006437187,0.011570655,0.023059754
15,Neutral,3.066592216491699,0.8534929,0.03391698,0.011307925,0.05189106,0.0072060423,0.013327868,0.028857194
16,Neutral,3.229495048522949,0.84500295,0.03601469,0.011990995,0.053809248,0.0075884536,0.014119389,0.03147427
17,Neutral,3.409684181213379,0.84807867,0.036531836,0.011622644,0.052844804,0.0072102146,0.013541832,0.030170135
18,Neutral,3.5718040466308594,0.8523328,0.037201807,0.010994781,0.05180762,0.0066580116,0.012731225,0.028273754
19,Neutral,3.7750141620635986,0.8570424,0.03776103,0.010542389,0.04921973,0.006155079,0.012387308,0.026892079
20,Neutral,3.949817180633545,0.8642366,0.037776805,0.009940208,0.045554176,0.0056194887,0.011861548,0.025011156
21,Neutral,4.119239091873169,0.8652271,0.040944792,0.00920759,0.044043828,0.0052505303,0.011201324,0.024124723
22,Neutral,4.284475326538086,0.86730903,0.04548618,0.008335862,0.042641252,0.0047308328,0.010686554,0.020810284
23,Neutral,4.454009294509888,0.86861604,0.050694164,0.007750078,0.040665038,0.004284079,0.010313221,0.017677493
24,Neutral,4.664590120315552,0.8534469,0.06459381,0.0071396814,0.04311723,0.0040583555,0.0105150845,0.017128991
25,Neutral,4.867424011230469,0.83735275,0.08149647,0.0063635246,0.044913024,0.0037572216,0.010150751,0.015966337
26,Neutral,5.0325682163238525,0.81768465,0.1003219,0.005932794,0.046961498,0.0035753897,0.010290501,0.015233305
27,Neutral,5.181968927383423,0.7844835,0.12713349,0.0056735165,0.051498894,0.0035058684,0.010973254,0.01673141
28,Neutral,5.345921039581299,0.7779683,0.13359144,0.0054345755,0.05237952,0.0033213368,0.010751894,0.016553024
29,Neutral,5.521847248077393,0.7787981,0.13024841,0.0054455474,0.055418864,0.0032131213,0.010681674,0.016194224
30,Neutral,5.678617238998413,0.78869706,0.117679276,0.005610879,0.058641035,0.0032162943,0.010578101,0.015577373
31,Neutral,5.834285259246826,0.8234725,0.08945203,0.005875161,0.0546299,0.0031491076,0.009901517,0.01351978
32,Neutral,5.9927451610565186,0.83660746,0.07245238,0.0062745376,0.05757985,0.0035886203,0.009855661,0.013641517
33,Neutral,6.236951112747192,0.83348,0.06559409,0.0068536135,0.06383563,0.0042382963,0.010140698,0.015857533
34,Neutral,6.574640274047852,0.8354408,0.059304256,0.007354393,0.06554619,0.0047427905,0.010439475,0.01717209
35,Neutral,6.744842052459717,0.8386538,0.05489235,0.0076957066,0.064619854,0.0051838164,0.010950925,0.018003535
36,Neutral,6.91165018081665,0.8446173,0.050351743,0.007931211,0.061744276,0.0056276843,0.011266902,0.018460827
37,Neutral,7.084223031997681,0.846463,0.048921775,0.0075906264,0.060605153,0.005945195,0.011802827,0.018671276
38,Neutral,7.294148206710815,0.84283787,0.051496837,0.007577385,0.059507094,0.005885174,0.012156372,0.020539347
39,Neutral,7.616653203964233,0.8366898,0.05526433,0.0077970806,0.059041813,0.005850926,0.012496673,0.022859486
40,Neutral,7.88178014755249,0.83102405,0.05828705,0.008186982,0.05842922,0.005846036,0.012944765,0.025281847
41,Neutral,8.21659803390503,0.8280869,0.05831215,0.008458024,0.057579815,0.006077228,0.012978095,0.0285078
42,Neutral,8.600486278533936,0.8561242,0.050153248,0.008156831,0.04750043,0.0051586106,0.010564733,0.022341935
43,Neutral,9.035995244979858,0.8789765,0.042056344,0.00834891,0.03907301,0.004600656,0.008922773,0.018021826
44,Neutral,9.37973928451538,0.8688782,0.042868815,0.009513831,0.041874055,0.0052007204,0.009098182,0.02256618
45,Neutral,9.575206995010376,0.8571512,0.043209907,0.011051112,0.044785365,0.0059794695,0.0092960615,0.028526865
46,Neutral,9.884294986724854,0.8408324,0.04570999,0.0128654465,0.047145184,0.0067958846,0.010092606,0.036558636
47,Neutral,10.101388216018677,0.83143747,0.050245322,0.013411887,0.048069593,0.0068730316,0.009984688,0.039978098
48,Neutral,10.281342029571533,0.8212181,0.05536969,0.01423926,0.04853546,0.0068818685,0.010380055,0.043375585
49,Neutral,10.473056077957153,0.82271695,0.05634426,0.014513855,0.046770673,0.0064990683,0.009644571,0.0435106
50,Neutral,10.648502111434937,0.8253051,0.056525785,0.014615731,0.044849485,0.0060783736,0.008715188,0.043910507
51,Neutral,10.82607126235962,0.8299132,0.05428003,0.0154053,0.04317607,0.005926062,0.008589892,0.042709433
52,Neutral,11.01054310798645,0.8453946,0.04846908,0.01579304,0.039025426,0.005565728,0.007773073,0.037979074
53,Neutral,11.18966007232666,0.86184704,0.0434072,0.015443882,0.03543632,0.005181898,0.006936385,0.0317472
54,Neutral,11.366965055465698,0.8812411,0.03731844,0.014477975,0.032274593,0.0046880264,0.005830672,0.02416914
55,Neutral,11.530405282974243,0.895089,0.032323487,0.013891201,0.03014734,0.0044241897,0.005072073,0.019052705
56,Neutral,11.69143295288086,0.9068848,0.027545778,0.013365909,0.02857324,0.004256716,0.0043904632,0.014983205
57,Neutral,11.856786966323853,0.91313434,0.024380565,0.013396264,0.028171226,0.004373362,0.0041169943,0.01242738
58,Neutral,12.00998306274414,0.9152408,0.023407426,0.013080196,0.029382367,0.004517781,0.004004861,0.010366538
59,Neutral,12.212893962860107,0.9133841,0.022862356,0.013765538,0.031293705,0.0049568536,0.0043314234,0.009406189
60,Neutral,12.390246152877808,0.91196865,0.022511043,0.014132196,0.032901913,0.005389366,0.0046158284,0.008481109
61,Neutral,12.571459293365479,0.909901,0.022705369,0.014152035,0.034782503,0.0057837926,0.004887609,0.00778757
62,Neutral,12.95475721359253,0.90738225,0.022804016,0.014662447,0.036217283,0.0061176876,0.005361748,0.007454493
63,Neutral,13.257061243057251,0.90800905,0.022221277,0.014866231,0.035835613,0.006064259,0.0055294908,0.0074741626
64,Neutral,13.52077603340149,0.9107531,0.021761874,0.014794003,0.03429836,0.0055944175,0.0055838875,0.007214334
65,Neutral,13.717572212219238,0.9136782,0.021912483,0.014444313,0.032617345,0.0050638733,0.0055338717,0.006749951
66,Neutral,13.896942138671875,0.9180496,0.02189973,0.014009909,0.02985844,0.0044572763,0.005509064,0.0062161153
67,Neutral,14.05478811264038,0.9217264,0.02103393,0.013502888,0.027755655,0.004083068,0.005432823,0.006465194
68,Neutral,14.22272801399231,0.92085886,0.02046652,0.014474927,0.026928088,0.004027222,0.0058320966,0.0074122436
69,Neutral,14.396545171737671,0.91655624,0.020353567,0.016650114,0.027056193,0.004074976,0.006501672,0.008807285
70,Neutral,14.57747507095337,0.90766793,0.02049937,0.020756181,0.027386203,0.004370001,0.0078093596,0.011510899
71,Neutral,14.74420714378357,0.89024657,0.021917775,0.027448865,0.028806938,0.005120609,0.01061189,0.015847372
72,Neutral,14.950400114059448,0.867328,0.024412915,0.035064094,0.030984279,0.0060237483,0.014579086,0.021608043
73,Neutral,15.121143102645874,0.83511317,0.02817948,0.04418492,0.03388155,0.007399264,0.019891227,0.03135037
74,Neutral,15.284346103668213,0.79211575,0.03286025,0.053956766,0.03781765,0.009273166,0.027058434,0.046918068
75,Neutral,15.457091093063354,0.73832333,0.036440507,0.06479534,0.041705456,0.011497345,0.035100218,0.0721379
76,Neutral,15.627443075180054,0.66648686,0.041384786,0.072259545,0.048695207,0.014755074,0.04524284,0.11117564
77,Neutral,15.796240329742432,0.6512253,0.04111812,0.075801216,0.053187564,0.015753705,0.045005042,0.11790897
78,Neutral,15.962711095809937,0.69104874,0.038497616,0.06424749,0.05639102,0.014924972,0.03612685,0.098763265
79,Neutral,16.139816999435425,0.7350837,0.03561204,0.05220969,0.058310572,0.013411716,0.027411364,0.07796104
80,Neutral,16.33377695083618,0.77638173,0.033327717,0.040484127,0.061379388,0.011792647,0.019267892,0.05736632
81,Neutral,16.537461042404175,0.81112605,0.029062793,0.03163965,0.06398656,0.010365737,0.012608732,0.04121054
82,Neutral,16.71728014945984,0.83233553,0.026583767,0.025361303,0.064733274,0.009287176,0.00888906,0.032809872
83,Neutral,16.892319202423096,0.8452296,0.023901146,0.021997118,0.06572518,0.008949487,0.0069534713,0.027243959
84,Neutral,17.06215810775757,0.8550747,0.021664007,0.019196473,0.06609337,0.008755233,0.005513513,0.023702597
85,Neutral,17.226768255233765,0.8583075,0.019625168,0.018757526,0.06688988,0.009135311,0.004830821,0.022453802
86,Neutral,17.39805006980896,0.86548156,0.017146772,0.019014165,0.0644839,0.009256571,0.0043205335,0.02029646
87,Neutral,17.604263067245483,0.8676999,0.016504548,0.018276058,0.06283637,0.009637382,0.004460717,0.020584967
88,Neutral,17.787153005599976,0.86513853,0.016114894,0.019638177,0.060901556,0.009856508,0.004906265,0.023444187
89,Neutral,17.960742235183716,0.8651642,0.015670948,0.020766564,0.057020694,0.009845522,0.0054311813,0.02610081
90,Neutral,18.13045620918274,0.8703136,0.014860888,0.022216441,0.05045864,0.009256734,0.0059931115,0.026900714
91,Neutral,18.294599056243896,0.8745263,0.014953671,0.02367434,0.0450564,0.008353989,0.0067043784,0.02673085
92,Neutral,18.50168204307556,0.87814945,0.015266186,0.026293905,0.0391921,0.007353531,0.0077105407,0.026034262
93,Neutral,18.810633182525635,0.87963986,0.016180556,0.028548772,0.035251044,0.006395233,0.008995892,0.024988653
94,Neutral,18.99089527130127,0.8777996,0.017301787,0.031657286,0.031852707,0.0056673647,0.010717545,0.025003714
95,Neutral,19.17479705810547,0.8735097,0.019100929,0.034143306,0.029595448,0.005111363,0.01277321,0.02576608
96,Neutral,19.342854976654053,0.8663636,0.0210554,0.03722608,0.027927417,0.004748288,0.015260633,0.027418464
97,Neutral,19.510788202285767,0.855783,0.022669725,0.041464586,0.026980232,0.004633337,0.018084213,0.030384943
98,Neutral,19.689943075180054,0.84545964,0.024023572,0.04513634,0.026467672,0.0046461336,0.021037016,0.033229604
99,Neutral,19.87481927871704,0.8364458,0.025132807,0.048616182,0.025548885,0.004571826,0.02422207,0.03546242
100,Neutral,20.041778087615967,0.8254544,0.025946744,0.05296615,0.025387768,0.004716341,0.027693877,0.03783465
101,Neutral,20.21794319152832,0.8138726,0.026514228,0.05671764,0.025866821,0.005008713,0.0317716,0.04024848
102,Neutral,20.39201807975769,0.8083341,0.02486687,0.059843387,0.026284896,0.005413572,0.03414925,0.04110782
103,Neutral,20.551488161087036,0.8094187,0.02259727,0.061767284,0.026456764,0.0057596625,0.03426836,0.039731987
104,Neutral,20.70610213279724,0.810176,0.020418689,0.06378121,0.026671594,0.0061333724,0.034056872,0.038762305
105,Neutral,20.862305164337158,0.8078928,0.01924094,0.065682344,0.027509123,0.0065613845,0.033388786,0.039724626
106,Neutral,21.027719020843506,0.8113994,0.018075395,0.064384565,0.028202139,0.0067439484,0.030913081,0.040281594
107,Neutral,21.19399929046631,0.8172687,0.01671886,0.0622388,0.028375613,0.006797271,0.027946727,0.040653903
108,Neutral,21.357174158096313,0.82057863,0.015495138,0.061304893,0.02847926,0.0067609088,0.025260618,0.0421206
109,Neutral,21.55406904220581,0.82179314,0.0143117225,0.061497856,0.028566055,0.006814584,0.022893693,0.044122946
110,Neutral,21.736265182495117,0.8193406,0.01381395,0.06126175,0.029126799,0.006996835,0.02123278,0.048227344
111,Neutral,21.90875816345215,0.81176084,0.014013948,0.061675992,0.030540792,0.0072786654,0.02006395,0.05466568
112,Neutral,22.38807725906372,0.79507893,0.015574492,0.062456425,0.033022333,0.0076368307,0.020643787,0.06558718
113,Neutral,22.563383102416992,0.7698989,0.01834385,0.06245698,0.037371386,0.008490301,0.02244461,0.080994055
114,Neutral,22.73245120048523,0.7331566,0.022264663,0.06135875,0.043544542,0.009806505,0.024590883,0.105277926
115,Neutral,22.904271125793457,0.687663,0.027151302,0.0610086,0.05129063,0.0115146,0.026916958,0.13445497
116,Neutral,23.07318615913391,0.63114417,0.031312764,0.06312415,0.059510134,0.0134867625,0.031086363,0.17033568
117,Neutral,23.258639097213745,0.55818874,0.035754785,0.067463666,0.06845854,0.016117966,0.037423413,0.21659288
118,Neutral,23.42376399040222,0.49264586,0.04002973,0.07191537,0.07641739,0.019046735,0.045966756,0.25397822
119,Neutral,23.58607006072998,0.42607102,0.044219404,0.07657012,0.08472033,0.022724148,0.0564712,0.28922382
120,Neutral,23.76349115371704,0.38290006,0.04779498,0.08822616,0.091532975,0.026203502,0.064779356,0.29856297
