Frame,Emotion,Time,NE_PROB,HA_PROB,SA_PROB,SU_PROB,FE_PROB,DI_PROB,AN_PROB
0,Neutral,0.0,0.33786553,0.050648704,0.055743802,0.16955881,0.101951025,0.038682826,0.24554926
1,Neutral,0.5135207176208496,0.340214,0.050557896,0.0552511,0.17061272,0.100357585,0.037270088,0.24573658
2,Neutral,0.7170629501342773,0.35225028,0.051047552,0.05428775,0.1690985,0.09485131,0.03590827,0.24255627
3,Neutral,0.8824460506439209,0.37443495,0.051918183,0.053258948,0.16400123,0.086077124,0.03483166,0.23547798
4,Neutral,1.061513900756836,0.40166727,0.052416947,0.052248865,0.15758605,0.07690094,0.033715725,0.22546422
5,Neutral,1.2643418312072754,0.4307325,0.052686065,0.05099411,0.15075994,0.06848528,0.032377478,0.21396475
6,Neutral,1.427785873413086,0.45204428,0.052586086,0.04893823,0.14729398,0.06282794,0.030056708,0.20625275
7,Neutral,1.5869948863983154,0.46530294,0.052118264,0.047122978,0.147136,0.05928202,0.027698021,0.20133984
8,Neutral,1.8000638484954834,0.47239006,0.05122496,0.046072025,0.14854744,0.05745202,0.025893295,0.19842021
9,Neutral,1.9546868801116943,0.47668153,0.049956568,0.045277324,0.15134355,0.056901433,0.024073582,0.19576609
10,Neutral,2.099562883377075,0.47730047,0.0488764,0.04474154,0.15567723,0.05727835,0.022390718,0.19373535
11,Neutral,2.277317762374878,0.47265399,0.04812853,0.044705704,0.15994227,0.059195846,0.02222298,0.1931506
12,Neutral,2.4442570209503174,0.45274436,0.047456387,0.044831056,0.1672843,0.06372655,0.022044806,0.20191245
13,Neutral,2.6157608032226562,0.42239335,0.047998797,0.043662596,0.17918086,0.068856336,0.021474963,0.21643314
14,Neutral,2.787000894546509,0.39926785,0.049043175,0.04221849,0.18929929,0.07216186,0.020993916,0.2270153
15,Neutral,2.9453160762786865,0.37680757,0.04975406,0.041346826,0.19848107,0.075833306,0.020892229,0.2368849
16,Neutral,3.120659828186035,0.3710386,0.05047703,0.041715804,0.19924785,0.07669141,0.021314727,0.23951454
17,Neutral,3.3234968185424805,0.3775191,0.051194064,0.04198888,0.19684172,0.07499935,0.02201337,0.23544362
18,Neutral,3.4965298175811768,0.38432288,0.05236313,0.042142007,0.19420959,0.07235928,0.023000866,0.23160224
19,Neutral,3.6564648151397705,0.39295408,0.053481378,0.042289887,0.18921626,0.06971227,0.024101153,0.22824499
20,Neutral,3.8236777782440186,0.40375265,0.05453466,0.042401932,0.18329322,0.066945344,0.025194444,0.22387779
21,Neutral,4.019444942474365,0.4037244,0.058987252,0.041500527,0.18219574,0.06433389,0.025887504,0.22337076
22,Neutral,4.18927001953125,0.40638855,0.065823525,0.04074175,0.18123972,0.060290903,0.027209165,0.21830638
23,Neutral,4.358676910400391,0.40770572,0.073702835,0.040448915,0.17943154,0.057393704,0.029064361,0.21225291
24,Neutral,4.525943994522095,0.39565048,0.08722725,0.038717184,0.18405695,0.053184338,0.030076295,0.21108748
25,Neutral,4.688714981079102,0.38439485,0.10424116,0.036537547,0.18912128,0.04832596,0.030015646,0.2073636
26,Neutral,4.848446846008301,0.369169,0.121583894,0.034627635,0.19553693,0.04492514,0.030013246,0.20414406
27,Neutral,5.011214733123779,0.3511894,0.13851336,0.032478143,0.2022438,0.041112624,0.029980931,0.20448166
28,Neutral,5.1712870597839355,0.35851002,0.14182086,0.03158383,0.20065913,0.038090814,0.028510602,0.2008247
